generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
820000,grahami,hendersoni,0,0.186847,-0.0422944,6.57024e-005,0
820000,homolechis,NA,44.5507,0.405378,0.0105618,0.366312,0
830000,grahami,hendersoni,0,0.221124,-0.0404639,0.015856,0
830000,smallwoodi,equestris,38.6585,0.24744,-0.00116756,0.111385,0
840000,grahami,hendersoni,0,0.242309,-0.0399979,0.0242921,0
850000,grahami,hendersoni,0,0.173145,-0.0390413,0.000817411,0
860000,grahami,hendersoni,0,0.200469,-0.0366386,0.00164712,0
870000,grahami,hendersoni,0,0.243583,-0.0419022,0.0057145,0
880000,grahami,hendersoni,0,0.18703,-0.03985,0.00559547,0
890000,grahami,hendersoni,0,0.204928,-0.0354854,0.00927221,0
890000,occultus,NA,16.9618,0.0989036,-0.00823301,0.149298,0
900000,grahami,hendersoni,0,0.187566,-0.0335943,0.0194681,0
910000,grahami,hendersoni,0,0.234804,-0.0464834,0.00365392,0
920000,grahami,hendersoni,0,0.216058,-0.0419924,0.0154213,0
930000,grahami,hendersoni,0,0.187731,-0.033345,0.0214312,0
940000,grahami,hendersoni,0,0.157875,-0.0344044,0.0082166,0
950000,grahami,hendersoni,0,0.112121,-0.0273469,0.00343905,0
950000,valencienni,NA,46.3205,0.0253315,-0.00905852,0.699669,0
960000,grahami,hendersoni,0,0.246832,-0.0387135,0.0225959,0
970000,grahami,hendersoni,0,0.360667,-0.0599407,0.0134224,0
980000,grahami,hendersoni,0,0.156852,-0.04099,0.00043743,0
990000,grahami,hendersoni,0,0.158003,-0.0318427,0.0105233,0
1000000,grahami,hendersoni,0,0.225598,-0.0455446,0.0199848,0
1010000,grahami,hendersoni,0,0.225634,-0.0374914,0.0180218,0
1020000,grahami,hendersoni,0,0.280596,-0.0530728,0.000519145,0
1030000,grahami,hendersoni,0,0.2307,-0.0444361,0.0274543,0
1040000,grahami,hendersoni,0,0.195095,-0.0347555,0.00790123,0
1050000,grahami,hendersoni,0,0.265897,-0.0451635,0.00364039,0
1060000,grahami,hendersoni,0,0.238645,-0.0397673,0.00782164,0
1070000,grahami,hendersoni,0,0.223865,-0.0488481,0.0147819,0
1080000,grahami,hendersoni,0,0.176929,-0.0344786,0.0147855,0
1090000,grahami,hendersoni,0,0.162079,-0.0384163,0.000834332,0
1100000,grahami,hendersoni,0,0.161556,-0.036202,0.0074621,0
1110000,grahami,hendersoni,0,0.169986,-0.0373986,0.00318087,0
1120000,grahami,hendersoni,0,0.199622,-0.0441587,0.00308378,0
1130000,grahami,hendersoni,0,0.180499,-0.0353356,0.00792366,0
1140000,grahami,hendersoni,0,0.193109,-0.037928,0.0109567,0
1150000,grahami,hendersoni,0,0.209258,-0.0435412,0.0104199,0
1160000,grahami,hendersoni,0,0.211555,-0.0450956,0.0061817,0
1170000,grahami,hendersoni,0,0.221601,-0.0448045,0.00858881,0
1180000,grahami,hendersoni,0,0.199329,-0.0333757,0.0117663,0
1190000,grahami,hendersoni,0,0.128445,-0.0302662,0.00501612,0
1200000,grahami,hendersoni,0,0.247207,-0.0363373,0.0289151,0
1210000,grahami,hendersoni,0,0.228534,-0.0432505,0.00626286,0
1210000,opalinus,NA,43.7606,0.258156,-0.0120398,0.221056,0
1220000,grahami,hendersoni,0,0.151208,-0.0392651,0.0106873,0
1230000,grahami,hendersoni,0,0.180057,-0.035308,0.00330381,0
1240000,grahami,hendersoni,0,0.238348,-0.0402576,0.0196533,0
1250000,grahami,hendersoni,0,0.183504,-0.0444512,0.0146351,0
1260000,grahami,hendersoni,0,0.135029,-0.0270146,0.00417284,0
1270000,grahami,hendersoni,0,0.161561,-0.0378774,0.00116234,0
1280000,grahami,hendersoni,0,0.157773,-0.0295303,0.00661291,0
1290000,grahami,hendersoni,0,0.157164,-0.0348772,0.00372907,0
1300000,grahami,hendersoni,0,0.29894,-0.047708,0.0164031,0
1310000,grahami,hendersoni,0,0.269629,-0.0416385,0.0369751,0
1320000,grahami,hendersoni,0,0.214514,-0.0420392,0.00963964,0
1330000,grahami,hendersoni,0,0.205002,-0.0440597,0.0142062,0
1340000,grahami,hendersoni,0,0.181437,-0.0320441,0.0262632,0
1350000,grahami,hendersoni,0,0.179748,-0.0423288,0.00622825,0
1360000,grahami,hendersoni,0,0.207302,-0.0370937,0.0297065,0
1370000,grahami,hendersoni,0,0.151867,-0.0362107,0.00177158,0
1380000,grahami,hendersoni,0,0.275832,-0.0504267,0.00834783,0
1390000,grahami,hendersoni,0,0.160936,-0.0404893,0.000617383,0
1400000,grahami,hendersoni,0,0.202372,-0.0347,0.0203049,0
